Time,Time,Miles,Cost,Date,,Total,Beginning Route,End Route
1115,11:15 AM,2.80 mi,$3.31 ,Mon May 21,,,,
1134,11:34 AM,11.95 mi,$12.15 ,Mon May 21,,,,
1154,11:54 AM,33.76 mi,$34.00 ,Mon May 21,,,,
1313,1:13 PM,6.99 mi,$6.57 ,Mon May 21,,,,
1344,1:44 PM,2.46 mi,$3.43 ,Mon May 21,,,,
1423,2:23 PM,21.57 mi,$29.75 ,Mon May 21,,,,
1511,3:11 PM,2.70 mi,$3.79 ,Mon May 21,,,,
1535,3:35 PM,2.54 mi,$2.87 ,Mon May 21,,,,
1600,4:00 PM,12.81 mi,$14.55 ,Mon May 21,,,,
1626,4:26 PM,3.78 mi,$4.05 ,Mon May 21,,,,
1648,4:48 PM,8.25 mi,$8.59 ,Mon May 21,,,,
0709,7:09 AM,8.57 mi,$14.69 ,Tue May 22,,,,
0735,7:35 AM,9.66 mi,$10.77 ,Tue May 22,,,,
0807,8:07 AM,1.80 mi,$5.85 ,Tue May 22,,,,
0831,8:31 AM,10.28 mi,$9.69 ,Tue May 22,,,,
0904,9:04 AM,2.64 mi,$2.98 ,Tue May 22,,,,
0918,9:18 AM,11.13 mi,$10.09 ,Tue May 22,,,,
1027,10:27 AM,11.15 mi,$11.80 ,Tue May 22,,,,
1049,10:49 AM,10.96 mi,$16.55 ,Tue May 22,,,,
1151,11:51 AM,9.81 mi,$8.42 ,Tue May 22,,,,
1217,12:17 PM,1.43 mi,$2.85 ,Tue May 22,,,,
1240,12:40 PM,9.28 mi,$8.71 ,Tue May 22,,,,
1328,1:28 PM,11.71 mi,$12.02 ,Tue May 22,,,,
1451,2:51 PM,11.01 mi,$13.37 ,Tue May 22,,,,
1518,3:18 PM,21.91 mi,$20.31 ,Tue May 22,,,,
1608,4:08 PM,27.94 mi,$23.44 ,Tue May 22,,,,
1658,4:58 PM,18.50 mi,$15.71 ,Tue May 22,,,,
1743,5:43 PM,4.50 mi,$4.63 ,Tue May 22,,,,
1759,5:59 PM,13.70 mi,$16.07 ,Tue May 22,,,,
0632,6:32 AM,19.87 mi,$23.40 ,Wed May 23,,,,
0713,7:13 AM,4.44 mi,$9.39 ,Wed May 23,,,,
0726,7:26 AM,6.25 mi,$5.96 ,Wed May 23,,,,
0751,7:51 AM,7.03 mi,$6.95 ,Wed May 23,,,,
0820,8:20 AM,10.57 mi,$9.25 ,Wed May 23,,,,
0857,8:57 AM,3.21 mi,$3.43 ,Wed May 23,,,,
0908,9:08 AM,2.20 mi,$2.85 ,Wed May 23,,,,
0929,9:29 AM,29.26 mi,$23.66 ,Wed May 23,,,,
1032,10:32 AM,5.75 mi,$7.48 ,Wed May 23,,,,
1107,11:07 AM,15.82 mi,$13.49 ,Wed May 23,,,,
1140,11:40 AM,3.52 mi,$7.09 ,Wed May 23,,,,
1209,12:09 PM,6.11 mi,$5.78 ,Wed May 23,,,,
1226,12:26 PM,3.19 mi,$3.67 ,Wed May 23,,,,
